"Variable","Mean","SD","Min","Max","Count"
"BMI",27.9,6.7,12,163.6,9006
"Worries About Health (Dummy)",1,0.2,0,1,9006
"Smoking (Dummy)",0.5,0.5,0,1,9006
"Health in 2 Years",2.6,0.9,1,5,9006
"Expected Health Decline in 2 Years",0.1,0.2,0,1,9006
"Life Satisfaction",5.7,2.1,0,10,9006
"Health Satisfaction",3.8,1.9,0,10,9006
"Tenure",6.9,8.9,0,40.9,9006
"Net Income",1069.2,1187.2,0,15000,9006
"Work Time Weekly",24.8,20.5,0,80,9006
"Total Years Unemployment",2.1,3.9,0,29,9006
"Job Worries (Dummy)",0.4,0.5,0,1,9006
"Financial Worries (Dummy)",0.9,0.4,0,1,9006
"Economic Worries (Dummy)",0.9,0.4,0,1,9006
"Gender (Male = 1)",0.4,0.5,0,1,9006
"Age",43.4,7.8,25,55,9006
"Education Level",3.6,1.5,1,8,9006
